tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),Activity
0.27688027,-0.012721805,-0.10343832,-0.99481511,-0.97307692,-0.98535702,-0.024708255,-0.068884585,0.085481775,-0.98466387,-0.98821559,-0.98090404,0.07139686,0.016842441,0.0010303821,-0.99123356,-0.97326434,-0.98501751,-0.99288633,-0.970608,-0.98367242,-0.99581075,-0.97510993,-0.98683043,-0.98191251,-0.98782272,-0.97727189,-0.9854689,-0.98846395,-0.98394887,-0.98804033,-0.98590171,-0.9852507,-0.98024776,STANDING
0.27622817,-0.021441302,-0.10820234,-0.99824595,-0.98721376,-0.99272659,-0.031173158,-0.074666711,0.091577535,-0.99416933,-0.99556652,-0.99579097,0.076084514,-0.0023115579,-0.0076736296,-0.99817933,-0.98978834,-0.98953173,-0.99823935,-0.98491607,-0.9916394,-0.99818143,-0.98828445,-0.99319699,-0.99258395,-0.99621833,-0.99512791,-0.99461526,-0.99509504,-0.99637239,-0.99477563,-0.99611776,-0.99428671,-0.99563374,STANDING
0.278457,-0.020414761,-0.11273172,-0.99913488,-0.98468004,-0.99627424,-0.029168611,-0.075944066,0.086183519,-0.99544544,-0.9971092,-0.99586602,0.077102002,0.017027167,-0.00098523943,-0.99919161,-0.99013839,-0.99282486,-0.99937732,-0.98715877,-0.99581923,-0.99895036,-0.98325916,-0.9960017,-0.99448722,-0.99805671,-0.99645488,-0.99568481,-0.99646211,-0.99589308,-0.99532501,-0.99656707,-0.99630809,-0.99738797,STANDING
0.27717497,-0.014712802,-0.10675647,-0.99918834,-0.99052638,-0.99336501,-0.027087093,-0.071831343,0.083622237,-0.99761834,-0.99760953,-0.99617388,0.07761238,0.019489223,0.015207683,-0.99698535,-0.99236956,-0.9930363,-0.99881956,-0.98880768,-0.99182892,-0.99938998,-0.9910295,-0.9941392,-0.99630863,-0.997468,-0.99577517,-0.99806499,-0.99764892,-0.99660307,-0.99670013,-0.9983924,-0.99767246,-0.99841465,STANDING
0.29794572,0.027093908,-0.061668123,-0.98864079,-0.8166986,-0.90190653,-0.010548201,0.15705425,-0.17452147,-0.97753165,-0.94186755,-0.91159041,0.066656163,-0.068367084,-0.033607601,-0.99027112,-0.98429137,-0.99104766,-0.98933967,-0.88341385,-0.95494861,-0.98817595,-0.79942945,-0.88547351,-0.97246478,-0.95036887,-0.91031729,-0.97906665,-0.93741192,-0.91991214,-0.90458778,-0.83989567,-0.84050608,-0.882544,STANDING
0.27920345,-0.023020143,-0.12208028,-0.99683904,-0.97484812,-0.98338551,-0.015810859,0.027702205,-0.02694145,-0.98874836,-0.96725751,-0.93401801,0.074659313,-0.0012810862,-0.026636672,-0.99505528,-0.99527456,-0.99513244,-0.9956289,-0.98317075,-0.98412856,-0.99746986,-0.97150398,-0.98329938,-0.99083312,-0.97688822,-0.94907865,-0.98824485,-0.96247444,-0.93544517,-0.98446381,-0.98754846,-0.93127833,-0.92308961,STANDING
0.27903836,-0.014800378,-0.11684896,-0.99694116,-0.98186562,-0.98257653,-0.013406816,-0.046264419,0.060933625,-0.98911045,-0.98218028,-0.97436137,0.076711586,0.012251865,0.010057325,-0.99481489,-0.99243002,-0.99605297,-0.99619504,-0.98725851,-0.98768709,-0.99727628,-0.97932377,-0.97998327,-0.99075452,-0.98614115,-0.97429588,-0.98869915,-0.98002865,-0.97655213,-0.98904307,-0.99093187,-0.97236443,-0.98189323,STANDING
0.2801349,-0.013916951,-0.10637048,-0.99769492,-0.98751567,-0.99040744,-0.012725097,-0.077761376,0.094503668,-0.9891964,-0.9897621,-0.98196822,0.07525447,0.015419535,0.016625946,-0.99497881,-0.99145508,-0.99562514,-0.99683409,-0.98804239,-0.98993731,-0.9981406,-0.98689854,-0.99059032,-0.98907811,-0.99140219,-0.98219024,-0.98921392,-0.9887699,-0.98337078,-0.99507155,-0.99268417,-0.9804895,-0.98867771,STANDING
0.27773106,-0.018210718,-0.10918803,-0.99749074,-0.99322197,-0.99612795,-0.02464236,-0.087790863,0.10782187,-0.99128786,-0.99769748,-0.99533142,0.075021356,0.0042103143,-0.0051048322,-0.99576851,-0.99245139,-0.99513475,-0.99680119,-0.99094436,-0.99596151,-0.99781366,-0.99394956,-0.99565162,-0.99051434,-0.99790133,-0.99428753,-0.99146979,-0.99749133,-0.99613008,-0.99872681,-0.99741361,-0.98856897,-0.99388286,STANDING
0.27556818,-0.016979698,-0.11142918,-0.99781139,-0.9905223,-0.99762104,-0.029461913,-0.084376762,0.10074789,-0.99590036,-0.99754503,-0.99504298,0.076113384,0.01842771,-0.0060482131,-0.99667367,-0.99275996,-0.99654064,-0.99720497,-0.99029766,-0.99669495,-0.99809595,-0.99012472,-0.9976144,-0.99517802,-0.9982421,-0.995936,-0.99606208,-0.99703422,-0.99502512,-0.99797237,-0.99879494,-0.993472,-0.99528437,STANDING
0.27756171,-0.014318487,-0.10787724,-0.99790424,-0.99431129,-0.99595166,-0.029814933,-0.078706495,0.093773469,-0.99747587,-0.99822808,-0.99813809,0.075342269,0.018055718,-0.0049718288,-0.99611698,-0.99343265,-0.9939722,-0.99719829,-0.99261084,-0.99417669,-0.99825827,-0.99458578,-0.99675387,-0.99678336,-0.99846765,-0.99695895,-0.99765151,-0.99799488,-0.9988931,-0.99844133,-0.99798984,-0.99698274,-0.99900144,STANDING
0.27715238,-0.017983328,-0.10660117,-0.99776322,-0.98995727,-0.99658567,-0.02917889,-0.07955402,0.094585279,-0.99758401,-0.99864863,-0.99768157,0.073413536,0.0045245992,-0.005894406,-0.99550617,-0.98680662,-0.99249984,-0.99657474,-0.98697802,-0.99542528,-0.99844386,-0.99134414,-0.99683996,-0.99638039,-0.99844454,-0.99640039,-0.99797979,-0.99874253,-0.99850636,-0.997891,-0.99752775,-0.99707363,-0.99843242,STANDING
0.2756763,-0.021264234,-0.11080122,-0.99786211,-0.99009076,-0.99459257,-0.028153699,-0.076118947,0.088998758,-0.99808137,-0.9975863,-0.99486246,0.076943687,0.005482978,0.0016020823,-0.9956916,-0.98292126,-0.99269663,-0.9975464,-0.9864129,-0.99403597,-0.99796805,-0.99198378,-0.99452293,-0.9970942,-0.99788171,-0.99467877,-0.99840904,-0.9973201,-0.99529435,-0.99589346,-0.99728461,-0.99762227,-0.99796907,STANDING
0.2792002,-0.017714427,-0.10916135,-0.99838929,-0.98730784,-0.99083159,-0.027220935,-0.069195151,0.079055228,-0.99833703,-0.99820829,-0.99598691,0.078642693,0.016503342,-4.8515198e-05,-0.99671667,-0.98591724,-0.99281698,-0.99750264,-0.98498699,-0.98999238,-0.9989003,-0.98839141,-0.99125809,-0.99763528,-0.99799155,-0.9942121,-0.9985502,-0.99830862,-0.99714765,-0.99521534,-0.99651065,-0.99736198,-0.9977236,STANDING
0.28171549,-0.011910678,-0.10287513,-0.99853388,-0.98848901,-0.99318367,-0.024960701,-0.071607144,0.080856127,-0.99624819,-0.99767145,-0.99406934,0.074924981,0.0099539071,0.00068788567,-0.99683571,-0.98672319,-0.99262375,-0.99865677,-0.98672372,-0.99260252,-0.99840255,-0.98914555,-0.9932395,-0.99512261,-0.99756262,-0.99341683,-0.99656089,-0.9976868,-0.99477065,-0.99419344,-0.99494985,-0.99569879,-0.99735309,STANDING
0.27899267,-0.014531029,-0.10659617,-0.99805969,-0.98606983,-0.99342424,-0.027372739,-0.0753043,0.088552726,-0.9935398,-0.99742925,-0.99505457,0.074219489,0.0044872377,0.0069293456,-0.99605338,-0.98671816,-0.99156012,-0.99747202,-0.9852728,-0.99227953,-0.99834409,-0.98628632,-0.9938875,-0.99272051,-0.99733625,-0.99325176,-0.99372716,-0.9974327,-0.99626738,-0.9957494,-0.99441625,-0.99526631,-0.99616702,STANDING
0.27573444,-0.01801884,-0.10677578,-0.99925496,-0.99366888,-0.9941888,-0.030529617,-0.074705186,0.089415593,-0.99433322,-0.99747657,-0.9967981,0.073460968,0.01837229,0.001436324,-0.99656406,-0.98927805,-0.99108795,-0.99898187,-0.98994616,-0.99251428,-0.99939524,-0.99547014,-0.99502186,-0.99206061,-0.99732034,-0.99534292,-0.99504265,-0.99752732,-0.99774839,-0.9985525,-0.99776154,-0.99582615,-0.99579462,STANDING
0.14450396,0.18926326,0.062769317,-0.90429967,-0.18193654,-0.44315051,-0.046489666,-0.28289794,0.22948437,-0.9733557,-0.97220339,-0.9171989,0.13805762,-0.34777099,-0.33527233,-0.98122357,-0.96614228,-0.98349118,-0.92128754,-0.43277861,-0.61401743,-0.89802907,-0.12526373,-0.40381329,-0.967536,-0.9690438,-0.89992251,-0.97513158,-0.97447678,-0.93123209,-0.5543692,-0.18717165,-0.8738801,-0.96976795,SITTING
0.28725164,-0.037455064,-0.14597431,-0.98291504,-0.89160489,-0.94143811,-0.04840838,-0.23917386,0.24705037,-0.99422554,-0.97536842,-0.9688802,0.089548399,-0.034317974,0.0030597368,-0.99243453,-0.98825647,-0.99383772,-0.98612352,-0.9319656,-0.97975316,-0.9814758,-0.88046372,-0.9286557,-0.9938543,-0.97978496,-0.97820971,-0.99427314,-0.97297426,-0.96880151,-0.93459377,-0.93195422,-0.89520271,-0.95274453,SITTING
0.2799976,-0.019484036,-0.10572355,-0.99281839,-0.94035041,-0.98149266,-0.039411936,-0.16674787,0.18301929,-0.99564427,-0.97823105,-0.96663998,0.071215441,0.044244119,0.020358157,-0.9946122,-0.99291965,-0.99189025,-0.99293691,-0.95749137,-0.98337133,-0.9926239,-0.9352808,-0.98084231,-0.99528558,-0.98342481,-0.96993296,-0.99568476,-0.97548568,-0.96842315,-0.97699498,-0.97105963,-0.94096567,-0.95416523,SITTING
0.22184689,0.034107675,-0.12361242,-0.81470826,-0.749418,-0.57189889,-0.037731641,0.021333829,0.076579313,-0.73087388,-0.49964946,-0.56901637,-0.013591322,0.12068585,0.22870415,-0.88383041,-0.85460677,-0.91135086,-0.80764453,-0.76550533,-0.67628885,-0.81740855,-0.75605135,-0.55205838,-0.74866144,-0.69737845,-0.65352471,-0.73003425,-0.41291791,-0.58390665,-0.81575864,-0.50812531,-0.68190845,-0.27136454,SITTING
-0.041701306,0.17510248,0.025551778,-0.75839283,-0.58653735,-0.43911019,-0.0038232806,0.019187316,-0.050212092,-0.72058157,-0.48896854,-0.50932463,0.050456562,0.090830365,0.0053317431,-0.85803037,-0.84002483,-0.8962204,-0.81335631,-0.70656744,-0.70433301,-0.73954717,-0.5594663,-0.3690514,-0.77404985,-0.6872257,-0.68464064,-0.71281525,-0.40157813,-0.50884639,-0.50739668,-0.49055481,-0.59287987,-0.35701417,SITTING
0.013903671,0.15329608,0.016242945,-0.80863778,-0.57274619,-0.62641542,-0.0045972195,-0.15669611,0.060405191,-0.92572959,-0.89701675,-0.72055919,0.17843808,-0.11966443,-0.25914034,-0.92242832,-0.93646888,-0.95518789,-0.85010909,-0.76166325,-0.72770498,-0.79420134,-0.52521634,-0.6046235,-0.88630279,-0.91679646,-0.78006986,-0.93920178,-0.88702317,-0.72890522,-0.62102725,-0.48451097,-0.85361742,-0.81063604,SITTING
0.30368927,-0.0042428053,-0.15085028,-0.95650333,-0.83867155,-0.94300953,-0.042681542,-0.15263343,0.20315388,-0.99621609,-0.97820247,-0.97771988,0.098998778,-0.074612565,-0.0073366086,-0.98969999,-0.98115962,-0.99574605,-0.9677791,-0.87902803,-0.98069583,-0.95235854,-0.82955267,-0.93038551,-0.9939928,-0.97374029,-0.98158671,-0.99699378,-0.98157382,-0.97832539,-0.91595384,-0.89361999,-0.93617751,-0.96711724,SITTING
0.29075969,-0.02403476,-0.11673889,-0.97737449,-0.96384053,-0.96250503,-0.041556713,-0.11325798,0.1566043,-0.99813599,-0.99054256,-0.97702357,0.062975489,0.03415889,0.033170611,-0.99358012,-0.99102301,-0.9989028,-0.98339322,-0.97465043,-0.97488987,-0.974984,-0.96006561,-0.95783963,-0.9980739,-0.9912576,-0.98090949,-0.99808887,-0.99006757,-0.97768507,-0.97480504,-0.9566084,-0.96385423,-0.97509882,SITTING
0.27090823,-0.014412968,-0.10652245,-0.99385604,-0.9931787,-0.9934703,-0.035457677,-0.091001714,0.11779396,-0.99673098,-0.99424221,-0.98667882,0.075591498,0.011694892,-0.0072211967,-0.99740715,-0.99211449,-0.99739047,-0.99597643,-0.99340829,-0.99489744,-0.99282051,-0.99235834,-0.99211813,-0.99696281,-0.99334008,-0.98624004,-0.99658723,-0.99485993,-0.98790654,-0.99523836,-0.99550157,-0.98430476,-0.98688986,SITTING
0.2795534,-0.017001147,-0.11051668,-0.99607594,-0.99578152,-0.99822168,-0.030919137,-0.074625079,0.094283835,-0.99909646,-0.99291725,-0.99092483,0.072773826,0.0035293806,-0.00060033363,-0.99646841,-0.99119252,-0.99673754,-0.99612732,-0.99272576,-0.99818451,-0.99594084,-0.99697932,-0.99748962,-0.99872231,-0.99296995,-0.99091693,-0.99920566,-0.9928408,-0.99161487,-0.99906744,-0.99906531,-0.99388844,-0.9937742,SITTING
0.27635864,-0.016138088,-0.10803259,-0.99557733,-0.99454385,-0.99454372,-0.028201987,-0.072296089,0.084889322,-0.99834012,-0.99422482,-0.99602129,0.076218027,0.0094053857,-0.0080907158,-0.99488413,-0.99050354,-0.99724301,-0.99529816,-0.99169066,-0.99619448,-0.99560896,-0.99562919,-0.99296166,-0.99794548,-0.99445974,-0.99484406,-0.99842318,-0.99402078,-0.99684885,-0.9980118,-0.9955942,-0.99663124,-0.99631676,SITTING
0.23715407,0.0078251224,-0.12283791,-0.97995358,-0.86619341,-0.96829047,-0.22503946,-0.13315886,-0.59416576,-0.95390955,-0.97297342,-0.84095619,0.075301588,0.082650327,-0.0089599647,-0.98434397,-0.97182661,-0.98618311,-0.98333264,-0.89914658,-0.97708524,-0.97845261,-0.85859152,-0.96490936,-0.95825574,-0.9788201,-0.84816728,-0.95333014,-0.96989231,-0.85297934,-0.92623334,-0.94594716,-0.62607513,-0.83659935,SITTING
0.2731084,0.0065181116,-0.10947182,-0.99078294,-0.93506515,-0.99072156,-0.14933808,-0.10757556,-0.28657183,-0.94503475,-0.98871206,-0.83657336,0.084520112,-0.018946735,0.0076682065,-0.99051461,-0.99076345,-0.99205386,-0.98981469,-0.95409312,-0.99134764,-0.99110846,-0.92953745,-0.99012132,-0.94008916,-0.989201,-0.83844239,-0.94678149,-0.98838593,-0.85070435,-0.96816289,-0.94767986,-0.78814522,-0.82768948,SITTING
0.28150539,-0.018434859,-0.11139287,-0.99546804,-0.98433022,-0.99099514,-0.079366112,-0.094869929,-0.040538466,-0.96234359,-0.98868112,-0.90097784,0.082081964,-0.0058534975,0.0032024153,-0.99447393,-0.99227559,-0.99127045,-0.99443506,-0.9848406,-0.99008845,-0.9959233,-0.98392125,-0.99145955,-0.96068647,-0.99124222,-0.91150016,-0.96305174,-0.98722279,-0.90654805,-0.99295106,-0.99577426,-0.92159819,-0.8924004,SITTING
0.27843225,-0.019654302,-0.10797029,-0.99439029,-0.98456278,-0.99198578,-0.037824733,-0.07652653,0.074576303,-0.98300305,-0.99349202,-0.97544897,0.07268307,0.019739112,0.004014346,-0.99264049,-0.99064198,-0.99159452,-0.99263436,-0.98576419,-0.99157404,-0.99525185,-0.98377944,-0.99200955,-0.9815204,-0.99348002,-0.98001141,-0.98344879,-0.9934553,-0.97605565,-0.9934379,-0.9938755,-0.9823882,-0.9765392,SITTING
0.2733796,-0.0099401064,-0.10839283,-0.9955058,-0.98176748,-0.99347363,-0.0210748,-0.072633665,0.11579647,-0.99429125,-0.99472922,-0.98163073,0.072130253,0.019920529,-0.0014860567,-0.99387916,-0.9902451,-0.99233342,-0.9941993,-0.98765983,-0.99277646,-0.99613117,-0.97902885,-0.9935939,-0.99316069,-0.99483197,-0.98359383,-0.99458049,-0.99460844,-0.98246771,-0.99091407,-0.99281205,-0.98533998,-0.98621149,SITTING
0.27905615,-0.01626097,-0.11281565,-0.99501877,-0.97044631,-0.98926612,-0.01749462,-0.073362144,0.12893616,-0.99892436,-0.99559617,-0.98693836,0.076807626,-0.0042927307,-0.0069884353,-0.9952061,-0.99059558,-0.99252449,-0.99498345,-0.9811016,-0.9906193,-0.99491636,-0.96643734,-0.98830912,-0.99872962,-0.99553502,-0.99097407,-0.99894645,-0.99558145,-0.98667052,-0.98754731,-0.99324099,-0.98075358,-0.98928227,SITTING
0.2785991,-0.019910142,-0.1111806,-0.99474489,-0.97949566,-0.98796152,-0.020494785,-0.069807644,0.1068855,-0.99735086,-0.99470232,-0.98453755,0.077934405,0.01488802,0.012086099,-0.99358183,-0.99072386,-0.99559271,-0.99404402,-0.98542913,-0.99060927,-0.9949904,-0.97685721,-0.98631197,-0.99710762,-0.99499794,-0.98653404,-0.99735949,-0.99445597,-0.98509781,-0.99012264,-0.99402631,-0.98832457,-0.99026281,SITTING
0.27328142,-0.011127209,-0.10634926,-0.9958764,-0.9891107,-0.99341322,-0.024644144,-0.070023979,0.092631918,-0.99853579,-0.99420193,-0.98875701,0.071543556,0.019647298,-0.0037668634,-0.99237312,-0.99328268,-0.9974808,-0.99461052,-0.98909018,-0.99548767,-0.99649281,-0.98868806,-0.99166211,-0.9978399,-0.99376198,-0.99140479,-0.99875773,-0.99446261,-0.98872747,-0.99302412,-0.99767465,-0.99356422,-0.99467142,SITTING
0.27853812,-0.016173432,-0.10970656,-0.99664602,-0.98297482,-0.99479797,-0.02633867,-0.074526058,0.092148536,-0.99878789,-0.99505467,-0.98844605,0.074515662,0.0092694454,-0.010291722,-0.99277413,-0.99043365,-0.99643207,-0.99558307,-0.98676236,-0.99486711,-0.99716899,-0.98105499,-0.99425455,-0.99784433,-0.99491883,-0.99111527,-0.99915562,-0.99509502,-0.9884377,-0.99414636,-0.99825604,-0.99465856,-0.99446094,SITTING
0.27746121,-0.017491016,-0.10635945,-0.99642843,-0.98467312,-0.99068266,-0.028021481,-0.07403317,0.081238251,-0.99835296,-0.99491145,-0.99213197,0.07818778,0.0090189325,0.012872972,-0.99276362,-0.989421,-0.99458711,-0.99492259,-0.98750126,-0.99196132,-0.99723615,-0.98308846,-0.98965545,-0.99751911,-0.99549016,-0.99190446,-0.9986269,-0.99448807,-0.99280705,-0.99354892,-0.99653821,-0.99552574,-0.99652094,SITTING
0.27394057,-0.013147584,-0.10543517,-0.99588454,-0.98801293,-0.98842553,-0.028699232,-0.075571862,0.08489365,-0.99853287,-0.99573925,-0.98903748,0.078228258,0.0054201733,0.0013550663,-0.99265114,-0.99365524,-0.99346867,-0.99475289,-0.99135022,-0.99126636,-0.99641687,-0.98600014,-0.98662695,-0.99760802,-0.99579728,-0.98942503,-0.99886473,-0.99564221,-0.98974277,-0.99264098,-0.9949077,-0.99504293,-0.99637214,SITTING
0.27930326,-0.020521383,-0.11323643,-0.99584854,-0.98070075,-0.99340381,-0.028006084,-0.07630627,0.092467106,-0.99827112,-0.9950509,-0.98889306,0.073647802,0.0083841697,-0.0050818355,-0.99396693,-0.99196458,-0.99592536,-0.99527834,-0.98862922,-0.99509609,-0.9960453,-0.97724297,-0.99189005,-0.99748773,-0.99486621,-0.9901195,-0.99851691,-0.99512495,-0.98931266,-0.99205145,-0.99486796,-0.99441055,-0.99557457,SITTING
0.2790872,-0.019083242,-0.10588882,-0.99572983,-0.97896723,-0.99139401,-0.028211664,-0.072544173,0.080864612,-0.99810121,-0.99314198,-0.98862667,0.06886822,0.020224021,0.0069050846,-0.99309444,-0.99078442,-0.99439585,-0.99296524,-0.98424139,-0.99532656,-0.99743328,-0.97663042,-0.98873898,-0.99657618,-0.99369114,-0.99026592,-0.99870298,-0.99274758,-0.98893074,-0.99147471,-0.99536861,-0.9936703,-0.99428791,SITTING
0.40347433,-0.015074404,-0.11816739,-0.91481115,-0.89523112,-0.89174811,0.031551954,-0.13199514,0.54327885,-0.95513929,-0.93360561,-0.81188693,0.023446864,0.00081333847,0.052811325,-0.94745338,-0.89722597,-0.97816837,-0.92631396,-0.88694847,-0.92879208,-0.91037489,-0.90562736,-0.88104465,-0.95217596,-0.93313376,-0.83554013,-0.95626437,-0.93427842,-0.82168422,-0.90512291,-0.83169609,-0.77756178,-0.81164844,LAYING
0.27837321,-0.020560964,-0.096824565,-0.98488259,-0.99111837,-0.98211178,0.0092571098,-0.078793121,0.25756479,-0.98117184,-0.99271925,-0.8922664,0.067178002,0.015637893,-0.016186186,-0.9928808,-0.98943383,-0.99164836,-0.98687443,-0.98900774,-0.98337917,-0.98389409,-0.99184611,-0.98179749,-0.98159156,-0.99396328,-0.8983206,-0.98114495,-0.99192883,-0.89997136,-0.98744609,-0.97847045,-0.91521896,-0.89860396,LAYING
0.27655526,-0.01786855,-0.10762126,-0.9941946,-0.99637166,-0.99561514,-0.013424389,-0.075370833,0.10054482,-0.99013041,-0.99615343,-0.94702521,0.082498475,0.0083569472,0.00023418251,-0.99488847,-0.99140208,-0.99377178,-0.99361477,-0.99425887,-0.99519692,-0.99436299,-0.9968263,-0.99536475,-0.98877868,-0.99688741,-0.95036266,-0.99048968,-0.9956296,-0.95058438,-0.99798763,-0.99609738,-0.97340095,-0.97291051,LAYING
